Y Real,Y Predicho
138000000.0,158257389.59767377
430000000.0,251884417.1414706
750000000.0,832854243.3226596
450000000.0,375579481.1386842
2200000000.0,1893102792.0732317
148000000.0,117250096.61210231
300000000.0,486460750.3760955
480000000.0,380220564.4958403
250000000.0,283963255.63665026
210000000.0,174978338.2475123
330000000.0,598370854.4153064
309999999.99999994,443461445.411925
1300000000.0000002,1084817241.3120005
230000000.0,202377043.86464044
309999999.99999994,397115281.4604372
600000000.0,669351454.8608986
309999999.99999994,375765744.5257282
240000000.0,348098527.8986363
265000000.00000003,234753595.961138
550000000.0,509316315.7585539
385000000.0,265832006.4758478
260000000.0,295375316.54768246
480000000.0,461693513.7226589
165000000.0,250388405.4651401
850000000.0,751212237.5753537
380000000.0,412057873.0823426
425000000.0,454150286.00252664
152000000.0,127055489.5468458
760000000.0,727489249.6552701
600000000.0,791699054.9847871
450000000.0,559490833.8122075
290000000.0,597586065.0731128
160000000.00000003,196670572.98717526
415000000.0,481126260.61383605
320000000.00000006,200917182.0499231
120000000.0,380849650.6270076
500000000.0,346765346.43380404
750000000.0,740140121.4758577
990000000.0,764097622.9590583
640000000.0000001,653410161.486746
560000000.0,440710816.9817098
307000000.0,340915960.65079105
530000000.00000006,841750808.1564142
265000000.00000003,189687966.13882577
570000000.0,305763660.410787
850000000.0,596877515.1251199
1800000000.0,1332562525.2747276
360000000.0,592513798.7786001
398000000.0,395950717.1783977
535000000.0,539536315.5123341
370000000.0,421731783.1869837
270000000.0,352569059.81452936
860000000.0,905252067.6478935
950000000.0,792496957.159015
380000000.0,323037938.45329344
295000000.0,388458191.82645786
465000000.0,323449709.3444102
300000000.0,430676652.7937193
220000000.0,194220587.40429696
800000000.0,514085386.1437417
120000000.0,139772044.62708518
320000000.00000006,292828498.1511576
340000000.0,310364209.1269078
720000000.0,755623768.4484922
250000000.0,167085454.15418795
647500000.0,829795499.5152904
330000000.0,246314308.7266203
470000000.0,531693476.19081926
520000000.0,357662433.08210456
320000000.00000006,302045340.6064573
680000000.0,777626898.9719402
360000000.0,305166426.5132681
250000000.0,302372305.9817464
220000000.0,238368073.6218362
300000000.0,297153873.1665389
510000000.0,338744706.98350734
750000000.0,680496432.4055113
670380000.0,874293786.1051311
380000000.0,596771646.2601529
2499000000.0,1761593119.2255151
670000000.0,384385827.8210289
650000000.0000001,890489070.6215894
135000000.0,143677694.25421
169999000.0,151567015.79535034
270000000.0,295811747.5356325
1600000000.0,1334520439.7458467
265000000.00000003,307937004.39514434
850000000.0,1279126066.3200693
2000000000.0,1196117449.2111588
2100000000.0,1655251342.2878122
560000000.0,639042025.400596
250000000.0,195254836.66032514
210000000.0,292602522.56429255
500000000.0,473942320.0972793
1649999999.9999998,1501289261.0429716
720000000.0,1023985524.5015243
280000000.0,356932918.43766165
510000000.0,367599970.7746001
360000000.0,266185139.1519564
450000000.0,465680416.78493464
250000000.0,261033960.1441892
